BirdID	Sex	Tarsus	BillL	BillW	Tail	Wing	Weight
TB09092	F	19	13.7	6.8	54	77	29.6
TB09092	F	19.3	13.3	6.7	55.5	78	29.1
TB09092	F	19.5	13.6	6.6	58	78	28.5
TB09097	F	17.5	14	6.4	55	76	26
TB09097	F	17.9	13.5	6.1	57	76	30.1
TB09099	F	17.8	13.7	6.7	55	77	25.6
TB09099	F	17.9	13.1	6.3	57.7	77.3	26.9
TB09102	F	17.8	13.3	6.3	55	74	24.2
TB09102	F	17.8	13.3	6.2	57.5	75	24.4
TB09102	F	18	13.2	6.2	57	75	23.4
TB09105	M	18.8	13.6	6.5	60	80	28.2
TB09105	M	19	13	6.3	61	82	31.2
TB09105	M	18.9	13.3	6.4	62	81	30.5
TB09110	M	20.1	13.8	6.7	59.8	80.3	31.2
TB09110	M	20.2	13.3	6.7	61	82	31.8
TB09112	F	18.6	13.1	6.4	57	78	25.5
TB09112	F	18.4	12.8	6.2	59	78	26.8
TB09115	M	18	13.6	6.2	58	79	24.6
TB09115	M	18.3	13.3	6	59.5	79	26.5
TB09115	M	18.6	13.2	6.1	58	79	27.4
TB09118	F	18.3	14.7	6.9	55.5	77	27.1
TB09118	F	18.5	14.5	6.5	57	78	27.9
TB09118	F	18.8	14.1	6.4	58	78	24.5
TB09119	M	19.4	14.3	6.4	57	79.5	27.3
TB09119	M	19.5	14	6.3	61	82	32
TB09121	F	18.2	13	6.6	52	73	25.5
TB09121	F	18.2	12.7	6.5	55	74.5	24.4
TB09125	F	18.8	12.4	6.5	56	75	26.8
TB09125	F	18.2	12.5	6.5	52	73	26.4
TB09131	F	17.9	13.6	6.5	56	74.5	28.3
TB09131	F	18	13.3	6.4	58.7	75.3	28
TB09133	F	18.5	13.7	6.5	55	76.5	30
TB09133	F	18.9	13.7	6.4	56	76	28.5
TB09147	F	19	NA	NA	NA	76	30
TB09147	F	19	13.7	6.6	58	77.5	28.2
TB09147	F	19.3	13.2	6.5	58	78	29.5
TB09153	F	19.8	NA	NA	NA	77	27
TB09153	F	19.9	13.8	6.1	60	78	26.9
TB09153	F	20	14.1	6.4	59	77	30.4
TB09166	F	18.3	13.8	6.6	54	75.3	28.4
TB09166	F	18.4	13.5	6.5	58	78	27.7
TB09168	M	19.2	13	6.3	59	79	28.2
TB09168	M	19	13.5	6.4	60	80	28.1
TB09171	F	18.9	14.5	6.5	58.7	77	27.5
TB09171	F	18.9	14.4	6.4	60.3	79	29.3
TB09173	M	18.6	13.5	7	57	78	26.8
TB09173	M	18.7	13.1	6.5	60	80	29.4
TB09173	M	18.8	13.7	6.7	59	81	27
TB09174	F	18.8	13.7	6.6	55.7	77.7	27.3
TB09174	F	19	13.3	6.5	60	79	25
TB09178	M	19	13.7	6.3	59	79	26.1
TB09178	M	18.8	13.1	6.2	60	79.5	27
TB09178	M	18.8	13.3	6	60	80	26.5
TB09182	F	19.6	13.4	6.9	56	78	27.5
TB09182	F	20	13.6	6.6	57	80	27.8
TB09183	M	19.1	13.9	6.6	58	78.5	29.6
TB09183	M	19	13.8	6.5	58	80	28.9
TB09184	F	19.7	14.1	6.9	53	76	28.4
TB09184	F	19.6	14.2	6.6	55.3	76.3	28.6
TB09185	F	18.2	13.3	6.8	55	75	26.9
TB09185	F	18.3	13.5	6.7	57.3	75.7	27.1
TB09185	F	18.2	13.3	7	56	75	29.2
TB09188	M	19.3	13	6.2	56	75.7	28
TB09188	M	19.1	13.3	6.5	56	76.5	28.6
TB09188	M	19.4	13	6.3	58	77	30
TB09199	M	18.8	13.2	6.4	59	80	28.9
TB09199	M	18.8	13	6	61	81.5	28.9
TB09199	M	19	13.2	6.1	62	81	27.2
TB09206	F	18.1	14.4	6.7	57.5	79.5	28.8
TB09206	F	18	13.6	6.4	58	80	28.4
TB09207	F	18.7	13.4	6.6	55.3	76.7	28.1
TB09207	F	18.7	13.7	6.6	56	78	26.6
TB09207	F	18.5	13.7	6.2	57	79	27.2
TB09208	M	17.1	12.7	6.7	57.5	78	26.1
TB09208	M	17.2	12.2	6.5	59	79	25.4
TB09209	M	19.4	NA	NA	NA	78	29.8
TB09209	M	19.2	12.5	6.4	60	79	27
TB09226	F	18.9	13.8	6.5	57	76.5	29
TB09226	F	19.2	13	6.5	61	78	26.2
TB09229	M	19	12.9	6.1	55.5	77	27.3
TB09229	M	18.8	13.2	6	59	80	28.2
TB09229	M	19.1	13.2	6.2	58	80	26.4
TB09230	F	18.9	12.1	6	50	76	25.3
TB09230	F	19	12.2	5.6	54	76	26.6
TB09232	F	18.6	13.6	6.5	55.5	76	26.4
TB09232	F	18.5	13	6.1	58	76	27.4
TB09233	F	17.7	13	6.3	56	76	26.8
TB09233	F	17.7	13	6.1	57	76	26.8
TB09234	F	18.6	13.4	6.4	55	76	28.5
TB09234	F	18.8	13	6.4	56.5	78	29.4
TB09234	F	19	13.5	6.1	57	78	27.6
TB09236	M	19.8	13.6	6.8	56	77.5	29.4
TB09236	M	19.9	13	6.6	60	81	29.6
TB09243	F	19.1	13.3	6.2	54.5	75.5	28.3
TB09243	F	19.2	13.1	6.1	57	77	28.3
TB09243	F	18.3	13.2	6.1	58	77	27.5
TB09257	M	19	13.1	6.5	60	80	27.3
TB09257	M	18.9	13.3	6.4	61	81	27.8
TB09258	F	19.6	13.4	6.3	60	78.5	28.3
TB09258	F	19.9	13.2	6.5	60	79	29.4
TB09259	M	17.5	13.1	6	58	78	26.6
TB09259	M	17.6	13.5	6	59	79	26.2
TB09270	M	18.2	14.6	6.7	57.5	77	29.3
TB09270	M	18.6	14.4	6.6	59.5	79	29.6
TB09284	F	17.9	13.1	6.3	55	77.5	29.1
TB09284	F	18.3	13.5	6.5	59	78	26.8
TB09291	M	19.5	13.6	6.4	59.5	78	29.1
TB09291	M	19.7	13.7	6.1	60	79	27.4
TB09297	F	17.8	12.8	6.4	58.5	78	26.6
TB09297	F	18	13.1	6.3	59	79	24.5
TB09299	M	19	13.5	6.3	59	81	30
TB09299	M	19	13.7	6.4	60	81	28.4
TC19529	F	17.3	12.8	6.2	59	76	23.5
TC19529	F	17.2	13.3	6	60	77	25.5
TC19533	F	18.7	12.8	6.4	57	77	29.2
TC19533	F	18.2	13	6.3	56	78	29.5
TC19562	F	18.1	13.4	6.4	56	76.5	29.4
TC19562	F	18.5	13.2	6.7	59	77	25.4
TC19569	F	19.4	13.4	6.6	56	79	33.7
TC19569	F	19.5	13	6.3	60	79	29.8
TC19577	F	18.8	13.2	6.4	55	75	26.7
TC19577	F	19	13.2	6.5	57	75	29.8
TC19587	F	18.4	14	6.4	NA	76	26.1
TC19587	F	18.5	13.9	6.6	58	77	26.2
TC19603	M	19.3	12.3	6.5	56	79	27.5
TC19603	M	19	12.1	6.3	58	80	27.2
TC19609	M	19.5	13.3	6.5	58	79	28.5
TC19609	M	20	13	6.5	57	80	27.6
TC19617	M	18.1	13.1	6	55	79	25
TC19617	M	18.2	12.7	6	58	80	26.2
TC19647	F	18.5	12.4	6.3	57	77	26
TC19647	F	18.5	12.8	6.2	55	78	28.4
TC19663	M	19.5	13	6	55	78	27.2
TC19663	M	19.8	13	6.3	60	79	28.5
TC19664	F	18.6	12.6	6.2	57	75	24.2
TC19664	F	19	13.2	6	57	75	27.2
TC19674	M	19	14.1	6.5	58	80	27.8
TC19674	M	18.5	14	6.5	60	81	29.8
TC19676	M	18.8	13.4	6.5	56	77	26.5
TC19676	M	19.1	13.3	6.7	58	78	26
TC19685	M	19.5	12.5	6.8	61	80	30.8
TC19685	M	19.5	13.3	6.7	62	81	31.5
TC19695	M	18.4	13.2	6.5	54	75	26.7
TC19695	M	18	13.7	6.2	57	76	27.6
TC19696	F	18	13.5	6.1	57	76	28.4
TC19696	F	18.4	13.4	6.1	60	76	25.6
VS06799	M	18.2	12.5	6.5	56	78.5	26.8
VS06799	M	18.4	12.5	6.5	58	78	27.3
VS06799	M	18.4	12.4	6.3	59	78.5	26.9
VS06799	M	18.5	12.3	6	59	80	25.3
VS50136	M	19.5	12.7	6.4	56.5	77.3	27.6
VS50136	M	19.3	12.5	6.2	57	76	28.5
VS50136	M	19.2	13.2	6.2	NA	80	28.2
VS50139	M	18.3	13.1	6.5	61	78	26.2
VS50139	M	18.2	13.5	6.1	59	79	26.2
VS50140	M	17	13.5	6.3	57	77	25.7
VS50140	M	16.8	12.9	6	59	77.5	25.7
VS50141	F	19.7	14	6.4	58.5	78.7	30
VS50141	F	19.8	13.9	6.3	59	77	28
VS50141	F	19.8	14.3	6.3	60	79	28.8
VS50141	F	19.9	13.4	6.4	60	79	31
VS50188	F	17.8	12.9	6.2	54	73.5	26.6
VS50188	F	17.9	13.3	6.2	55	75	27.5
VV78215	M	19.6	13.5	6.7	58	78.5	27.6
VV78215	M	19.4	14	6.7	56	78	28
VV78215	M	19.5	13.7	6.1	58	79	28.7
VV78215	M	19.7	13.9	6.2	58	80	27.7
VV78261	M	19.1	13.4	6.4	60	78.7	25.6
VV78261	M	19.1	13	6.6	62	80	25.6
VV78261	M	19.3	13.4	6.4	61	80	26.2
VX04201	M	17.7	13.2	6.7	56.8	77.2	26.7
VX04201	M	17.5	13.5	6.5	56	76	27.8
VX04201	M	17.7	13.3	6.9	57	77	26.6
VX04201	M	18	13.2	6.5	59	78	26.4
VX04207	M	18.2	13.4	6.8	64	76	27.2
VX04207	M	18.5	13.4	6.5	58	79	26.5
VX04208	M	18.1	12.9	6.4	55	75.7	26.3
VX04208	M	18.1	12.5	6.8	54	76	29.3
VX04208	M	18.2	12.9	6.2	55	76.7	27.5
VX04208	M	18.2	13	6.3	55	76	28.5
VX04211	M	18.7	13.6	6.8	59	79	28
VX04211	M	18.5	13.4	6.8	58	79	26.5
VX04222	F	18.9	13.9	16.7	55	76	25.6
VX04222	F	18.8	13.9	6.7	55	75	25.5
VX04226	F	19.3	13	6.5	57	76	28.5
VX04226	F	19	12.6	7	56	75	31.1
VX04226	F	19.2	12.3	6.6	57	76	28
VX04228	F	18.1	13.8	6.7	57	78	27
VX04228	F	18.2	13.2	6.6	56.7	76	27.8
VX04228	F	18.5	13.5	6.4	58	77	27
VX04229	M	18.2	13.8	6.5	58	78	25.4
VX04229	M	18.2	13.5	6.1	60	78	27.3
VX04229	M	18.3	13.2	6.3	59	78	27.2
VX04252	F	19.2	13.2	6.4	59.5	77	27.4
VX04252	F	19.1	12.8	6	59	78.5	29.8
VX04279	M	19.8	13.9	6.8	59	80	28.9
VX04279	M	20	14	6.4	60	80	31
VX04284	M	18	13.6	6.4	57	80	27.8
VX04284	M	18.3	13.1	6.2	60	81	26.5
VX04286	M	17.9	13.8	6.6	58	78.5	26.6
VX04286	M	18	13.7	7	58	78	25.5
VX04286	M	18.2	13.3	6.6	59.5	79.5	26.6
VX04286	M	18.5	13.1	6.7	60	80	27.2
VX04291	F	18.7	12.8	6.7	59	78	28.1
VX04291	F	18.8	12.8	6.5	58	77	27.8
VX04291	F	19	13	6.7	62	78	25.8
VX04291	F	18.6	13.2	6.5	60	79	26.8
VX04299	M	17.8	13.5	6.5	57	77	26
VX04299	M	17.5	14.1	6.5	55	76	26.5
VX04299	M	17.6	13.1	6.2	59	78	23.8
VX04306	M	18.8	12.6	6.9	58	80	27.3
VX04306	M	18.8	12.4	6.4	56	79	26.3
VX04306	M	18.6	12.3	6.2	58.5	80	27
VX04306	M	19	12.5	6	60	81	25.7
VX04311	F	17.8	13.5	6.5	53	75	27.8
VX04311	F	17.8	13	6.5	52	74	26.3
VX04325	M	18.7	13.4	6.6	63	81	30
VX04325	M	18	14	6.7	62	80	29
VX04325	M	18.7	13.5	6.6	64	81	33.1
VX04326	M	17.6	13.1	6.4	60.5	78	26.9
VX04326	M	17.6	13	6.6	60	77	28.8
VX04326	M	17.4	13.2	6.2	61	78.5	26.6
VX04326	M	17.6	13.2	6.5	62	79	28.8
VX04336	M	17	14.3	6.3	55	78	26
VX04336	M	16.8	13.8	6.5	56	76	24.5
VX04353	M	18.1	12.7	6.2	57	78	27.5
VX04353	M	18	12.9	6.6	55	76	27.3
VX04363	F	19.8	12.8	6.4	58	76	27.2
VX04363	F	19.4	13.2	6.3	58.5	77.5	28
VX04363	F	19.6	13.1	6.4	57.5	77.5	26.6
VX04363	F	19.5	13.2	6.1	59	79	27.5
VX04365	M	18.7	12.7	6.4	60.2	79.6	26
VX04365	M	18.5	12.7	6.4	59.3	78.7	26.9
VX04365	M	18.6	12.2	6.3	61	80	25.4
VX04365	M	18.8	12.5	6.4	61	80	24.9
VX04369	F	19.2	14.1	6.6	56	77	26.5
VX04369	F	19.2	13.9	6.8	56.5	76.3	26.5
VX04369	F	19	13.7	6.6	57	78	24.5
VX04369	F	19	14	6.3	55	77	26.1
VX04378	M	19.4	13.7	6.3	59	81	30.7
VX04378	M	19	13.7	6.9	58	80	30.5
VX04378	M	19.5	13	6.4	60	81	30
VX04378	M	19.8	13	6.1	60	81	30.9
VX04391	M	18.9	13.2	6.8	61	80	28.2
VX04391	M	18.4	13	6.9	60	81	30.3
VX04406	M	19	13.9	6.7	63	81	28.8
VX04406	M	18.5	14.5	6.7	60	80	28.8
VX04406	M	18.6	13.6	6.5	63	82	27.8
VX04406	M	18.6	14.3	6.5	64.5	82	31.8
VX04422	M	18.1	12.8	6.5	60.8	81	29.5
VX04422	M	17.8	13.5	6.7	60	79	29
VX04422	M	18.1	12.4	6.5	62	82	26.5
VX04422	M	18	13	6.5	63	82	28.2
VX04447	M	19.4	13.2	6.4	60	81	26.8
VX04447	M	19.3	12.6	6.1	60	80	26.2
VX04447	M	19.5	12.5	5.9	60	83	25.8
VX04453	F	18	13.2	6.3	55	75	28.7
VX04453	F	18.3	13.4	6	57	74	24.8
VX04453	F	18.1	13.3	6.1	56	76	27.7
VX04453	F	18.4	13.5	6.2	59	76	25
VX04465	M	20	13.7	6.6	62	80	31.4
VX04465	M	19	13.5	6.6	62	80	31
VX04467	F	16.9	13.5	6.2	56	74	24.6
VX04467	F	18	13.4	6	56	74	24.3
VX04467	F	17.3	12.6	6	58	75	25.2
VX04467	F	18	13.1	6.1	57	75	24
VX04471	F	17	12.8	5.8	57	76	25.6
VX04471	F	17.1	12.1	6.3	58	75	26.1
VX04473	F	17.4	13	6.3	56	77	26.5
VX04473	F	17.4	13.2	6.2	55	75	25.5
VX04473	F	17.6	13.2	6.3	56.5	76	25.9
VX04473	F	17.5	13.2	6	58	78	24.9
VX04486	M	18.9	14.1	6.7	58	79	26.9
VX04486	M	18.6	14.2	6.5	56	78.3	27.2
VX04486	M	18.9	13.9	6.6	59.5	80	28.6
VX04486	M	19	14.4	6.5	60	80	29.8
VX04489	M	17	12.9	6.3	57	77	25.5
VX04489	M	17	13	6	59	78	26.5
VX04489	M	17.5	13	6.1	57	78	26.7
VX04500	F	17.6	12.7	6.6	56	76	27.4
VX04500	F	17.5	13.1	6.3	54	75	26.8
